psa,offense_group,offense_text,shift,method,district,ward,year,month,day_of_week,latitude,longitude
206.0,property,MOTOR VEHICLE THEFT,evening,others,2.0,2.0,2023,9.0,Friday,38.9082908764,-77.0660758739
206.0,property,THEFT/OTHER,day,others,2.0,2.0,2023,9.0,Thursday,38.9072169383,-77.063241423
506.0,property,BURGLARY,day,others,5.0,5.0,2023,9.0,Thursday,38.9096810032,-76.9835451911
602.0,property,MOTOR VEHICLE THEFT,evening,others,6.0,7.0,2023,9.0,Saturday,38.904669799,-76.9291148896
209.0,property,MOTOR VEHICLE THEFT,midnight,others,2.0,2.0,2023,10.0,Sunday,38.9042855592,-77.0296233564
505.0,property,THEFT F/AUTO,evening,others,5.0,2.0,2023,5.0,Tuesday,38.9222116506,-76.9931501206
209.0,property,THEFT/OTHER,day,others,2.0,2.0,2023,5.0,Thursday,38.8973458172,-77.0265138574
402.0,property,THEFT F/AUTO,day,others,4.0,4.0,2023,8.0,Friday,38.9642441135,-77.031945149
407.0,violent,ROBBERY,midnight,gun,4.0,4.0,2023,8.0,Saturday,38.9432991837,-77.0132166799
505.0,violent,ROBBERY,day,others,5.0,5.0,2023,8.0,Wednesday,38.9191765512,-76.9814233179
403.0,violent,ROBBERY,midnight,gun,4.0,4.0,2023,8.0,Wednesday,38.9557412207,-77.0257318971
606.0,violent,ROBBERY,evening,gun,6.0,7.0,2023,8.0,Thursday,38.8596577148,-76.9650779116
507.0,violent,ASSAULT W/DANGEROUS WEAPON,day,gun,5.0,7.0,2023,7.0,Saturday,38.897298955,-76.9648782686
408.0,property,THEFT/OTHER,evening,others,4.0,1.0,2023,7.0,Friday,38.9364820941,-77.0304442355
607.0,property,THEFT F/AUTO,day,others,6.0,8.0,2023,8.0,Wednesday,38.8730155281,-76.9742477189
606.0,property,THEFT/OTHER,day,others,6.0,7.0,2023,8.0,Monday,38.8600550644,-76.9675340373
401.0,property,THEFT F/AUTO,evening,others,4.0,4.0,2023,8.0,Friday,38.9718026004,-77.0138436158
503.0,property,MOTOR VEHICLE THEFT,midnight,others,5.0,5.0,2023,7.0,Wednesday,38.9367586756,-76.9654406123
104.0,property,BURGLARY,day,others,1.0,6.0,2023,7.0,Tuesday,38.9002009211,-76.9892742544
504.0,property,MOTOR VEHICLE THEFT,day,others,5.0,5.0,2023,7.0,Thursday,38.924402069,-76.9924262685
506.0,property,THEFT/OTHER,day,others,5.0,5.0,2023,3.0,Saturday,38.9038249759,-76.9858310912
103.0,violent,ROBBERY,midnight,gun,1.0,6.0,2023,9.0,Saturday,38.8776363849,-77.022196341
702.0,violent,ASSAULT W/DANGEROUS WEAPON,evening,gun,7.0,8.0,2023,7.0,Sunday,38.8545644303,-76.9705725705
108.0,violent,ROBBERY,midnight,gun,1.0,6.0,2023,7.0,Wednesday,38.8935745752,-76.9877104394
307.0,property,MOTOR VEHICLE THEFT,midnight,others,3.0,2.0,2023,8.0,Wednesday,38.9079088435,-77.0239664272
307.0,property,MOTOR VEHICLE THEFT,evening,others,3.0,2.0,2023,7.0,Wednesday,38.9092497359,-77.0291198413
304.0,property,MOTOR VEHICLE THEFT,day,others,3.0,1.0,2023,8.0,Saturday,38.9230959354,-77.0297080884
302.0,property,MOTOR VEHICLE THEFT,day,others,3.0,1.0,2023,9.0,Friday,38.9272407428,-77.0271552295
305.0,property,THEFT F/AUTO,midnight,others,3.0,1.0,2023,9.0,Sunday,38.9206830064,-77.0284596015
409.0,property,THEFT/OTHER,evening,others,4.0,1.0,2023,9.0,Sunday,38.9351968003,-77.0246685555
408.0,property,MOTOR VEHICLE THEFT,evening,others,4.0,1.0,2023,6.0,Thursday,38.9337122643,-77.027357803
707.0,violent,ROBBERY,evening,others,7.0,8.0,2023,5.0,Saturday,38.8348212628,-77.0065074831
305.0,property,THEFT F/AUTO,day,others,3.0,1.0,2023,6.0,Sunday,38.9148306546,-77.0280885179
301.0,property,BURGLARY,evening,others,3.0,2.0,2023,6.0,Thursday,38.9122345199,-77.0345559214
204.0,property,THEFT F/AUTO,midnight,others,2.0,3.0,2023,6.0,Friday,38.9241651522,-77.081658807
209.0,property,THEFT/OTHER,day,others,2.0,2.0,2023,6.0,Monday,38.9045060989,-77.0319581699
507.0,property,MOTOR VEHICLE THEFT,day,others,5.0,7.0,2023,2.0,Friday,38.8963835788,-76.9822244277
